Comment;OS;Variables;English;Russian

;android, ios;AppName;Petus;

Screen titles;android, ios;ZooScreenTitle;Home;Дом
;android, ios;CemeteryScreenTitle;Cemetery;Погост
;android, ios;WeatherScreenTitle;Weather;Погода
;android, ios;ProfileScreenTitle;Profile;Профиль

User profile;android, ios;ProfileScreenLanguagesLabel;Languages;Языки
;android, ios;ProfileScreenInventoryLabel;Inventory;Инвентарь
;android, ios;ProfileScreenAbilitiesLabel;Abilities;Способности
;android, ios;LanguageKnowledgeTitleCatus;Catus language;Язык Катуса
;android, ios;LanguageKnowledgeTitleDogus;Dogus language;Язык Догуса
;android, ios;LanguageKnowledgeTitleFrogus;Frogus language;Язык Фрогуса
;android, ios;LanguageKnowledgeTitleBober;Bober language;Язык Бобера
;android, ios;ZooSizeTitle;Home size;Размер дома
;android, ios;ProfileScreenMiscLabel;Misc;Прочее

Zoo screen;android, ios;CreatePetButtonTitle;Create new pet;Создать нового пета

Pet details;android, ios;WillHatchSoon;Will hatch soon…;Скоро вылуплюсь…

Pet creation screen;android, ios;PetCreationScreenSelectPetType;Select pet type;Выбери тип пета
;android, ios;PetCreationScreenEnterPetName;Enter pet name:;Введи имя пета:
;android, ios;PetCreationScreenEnterPetNameHint;Pet name;Имя пета
;android, ios;PetCreationScreenPetTypeDogus;dogus;догуса
;android, ios;PetCreationScreenPetTypeCatus;catus;катуса
;android, ios;PetCreationScreenPetTypeFrogus;frogus;фрогуса
;android, ios;PetCreationScreenPetTypeBober;bober;бобера
;android;PetCreationScreenButtonTemplate;Create %s %s;Создать %s %s
;ios;PetCreationScreenButtonTemplate;Create %@ %@;Создать %@ %@

Pet descriptions;android, ios;PetTypeDescriptionCatus;Catus: sleeps 2 hours, awake for 1 hour. Likes warm sunny days. Likes small wind.;Катус: спит 2 часа, бодрствует 1 час. Любит теплые солнечные дни. Любит легкий ветерок.
;android, ios;PetTypeDescriptionDogus;Dogus: sleeps 1 hour, awake for 2 hours. Likes warm sunny days. Likes medium wind.;Догус: спит 1 час, бодрствует 2 часа. Любит теплые солнечные дни. Любит средний ветер.
;android, ios;PetTypeDescriptionFrogus;Frogus: sleeps 1.5 hours, awake for 1.5 hours. Likes cold cloudy days. Does not like wind.;Фрогус: спит 1,5 часа, бодрствует 1,5 часа. Любит прохладные пасмурные дни. Не любит ветер.
;android, ios;PetTypeDescriptionBober;Bober: sleeps 1 hours, awake for 2 hours. Likes warm sunny days. Does not like wind.;Фрогус: спит 1 час, бодрствует 2 часа. Любит теплые солнечные дни. Не любит ветер.

Item names;android, ios;Necronomicon;Necronomicon;Некрономикон
;android, ios;PieceOfCloth;Piece of cloth;Кусок ткани
;android, ios;MysteriousBook;Mysterious book;Загадочная книга
;android, ios;Fish;Fish;Рыба
;android, ios;FrogusEgg;Frogus egg;Яйцо Фрогуса
;android, ios;DogusEgg;Dogus egg;Яйцо Догуса
;android, ios;CatusEgg;Catus egg;Яйцо Катуса
;android, ios;BoberEgg;Bober egg;Яйцо Бобера
;android, ios;Basket;Beautiful and reliable basket for storing eggs (with a lid);Прекрасная и надёжная корзина для хранения яиц (с крышечкой)
;android;InventoryItemPattern;%s (x%d);%s (x%d)
;ios;InventoryItemPattern;%@ (x%d);%@ (x%d)

Abilities names;android, ios;Necromancy;Necromancy;Некромантия

Notifications;android;NotificationInventoryItemAdded;%s added;Добавлено: %s
Notifications;ios;NotificationInventoryItemAdded;%@ added;Добавлено: %@
;android;NotificationInventoryItemRemoved;%s removed;Удалено: %s
;ios;NotificationInventoryItemRemoved;%@ removed;Удалено: %@

History events;android, ios;HistoryEventPetCreated;Created;Создан
;android, ios;HistoryEventPetWakeUp;Wake up;Проснулся
;android, ios;HistoryEventPetForciblyWakeUp;Forcibly wake up;Был разбужен
;android, ios;HistoryEventPetSleep;Fall asleep;Уснул
;android, ios;HistoryEventPetGetIll;Get ill;Заболел
;android, ios;HistoryEventPetGetHealed;Get healed;Вылечен
;android, ios;HistoryEventPetFeed;Been fed;Накормлен
;android, ios;HistoryEventPetPlay;Played with;Со мной поиграли
;android, ios;HistoryEventPetDied;Died;Умер
;android, ios;HistoryEventPetCleanUp;Cleaned up;За мной прибрали
;android, ios;HistoryEventPetBecomeNewborn;Become newborn;Родился
;android, ios;HistoryEventPetBecomeTeen;Become teen;Стал подростком
;android, ios;HistoryEventPetBecomeAdult;Become adult;Стал взрослым
;android, ios;HistoryEventPetBecomeOld;Become old;Стал старым
;android, ios;HistoryEventPetBuried;Buried;Похоронен
;android, ios;HistoryEventPetResurrected;Resurrected;Воскрешен
;android, ios;HistoryEventPetPoop;Pooped;Покакал

Pet state description dialogs;android, ios;IAmSick;I am sick, do you have any medicine?;Я болею, у тебя найдется какое-нибудь лекарство?
;android, ios;IAmSickLatin;Aeger sum, habesne medicamentum aliquod?;
;android, ios;IAmSickPolish;Jestem chory. Czy masz jakieś lekarstwo?;
;android, ios;IAmHungry;I am hungry, give me some food.;Я голодный, дай что-нибудь поесть.
;android, ios;IAmHungryLatin;Esurio, da mihi cibum.;
;android, ios;IAmHungryPolish;Jestem głodny, daj mi trochę jedzenia.;
